"","author","paper_title","publication_year","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","item_number_1","item_number_2","item_number_3","item_number_4","item_number_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_yesno_1","intervention_yesno_2","intervention_yesno_3","intervention_yesno_4","intervention_yesno_5","exposure_yesno_1","exposure_yesno_2","exposure_yesno_3","exposure_yesno_4","exposure_yesno_5","domain","health","validation","nature","crime","finance","nuclear","political","social","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","correlation_results_1","correlation_results_1.1","correlation_results_1.2","correlation_results_1.3","correlation_results_1.4","correlation_results_1.5","correlation_results_1.6","correlation_results_1.7","correlation_results_1.8","correlation_results_2","correlation_results_3","correlation_results_4","correlation_results_5","ICC_results_1","ICC_results_1.1","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","sample_category_1","sample_category_2","sample_category_3","sample_category_4","sample_category_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5","item_number_numeric"
"1","Bish","No news is (not necessarily) good news: Impact of preliminary results for BRCA1 mutation searches",2002,NA,"longitudinal","risk","worry",NA,NA,NA,"scale","scale",NA,NA,NA,"likert scale","likert scale",NA,NA,NA,"2",NA,NA,NA,NA,"3",3,NA,NA,NA,"single","single",NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"cancer",1,0,0,0,0,0,0,0,1,1,NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant","not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"workers","workers",NA,NA,NA,"adults","adults",NA,NA,NA,"uk","uk",NA,NA,NA,61,61,NA,NA,NA,1,1,NA,NA,NA,"52.1",52.1,NA,NA,NA,11.1,11.1,NA,NA,NA,32,32,NA,NA,NA,74,74,NA,NA,NA,2
"2","Smith","Why are they worried? Concern about HIV/AIDS in rural Malawi",2003,NA,"longitudinal","worry",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"1",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"health; health catastrophe; other: hiv/aids",1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1095,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"malawi",NA,NA,NA,NA,1538,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3","Cabrera","The impact of genetic counseling on knowledge and emotional responses in Spanish population with family history of breast cancer",2010,NA,"longitudinal","risk","worry",NA,NA,NA,"single item","scale",NA,NA,NA,"likert scale","range",NA,NA,NA,"1",6,NA,NA,NA,"3",3,NA,NA,NA,"single","single",NA,NA,NA,1,1,0,0,0,0,0,0,0,0,"cancer",1,0,0,0,0,0,0,0,1,1,NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant","significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"clinical/patients","clinical/patients",NA,NA,NA,"adults","adults",NA,NA,NA,"spain","spain",NA,NA,NA,212,212,NA,NA,NA,0.94,0.94,NA,NA,NA,"38.4",38.4,NA,NA,NA,11.4,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4","Maheu","Pancreatic cancer risk counselling and screening: impact on perceived risk and psychological functioning",2010,NA,"longitudinal","risk","worry",NA,NA,NA,"single item","single item",NA,NA,NA,"range","likert scale",NA,NA,NA,"1",1,NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,1,1,0,0,0,0,0,0,0,0,"cancer",1,0,0,0,0,0,0,0,1,1,NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant","significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"clinical/patients","clinical/patients",NA,NA,NA,"adults","adults",NA,NA,NA,"canadia","canadia",NA,NA,NA,198,198,NA,NA,NA,0.51,0.51,NA,NA,NA,"56.4",56.4,NA,NA,NA,9.2,9.2,NA,NA,NA,32,32,NA,NA,NA,89,89,NA,NA,NA,1
"5","Malnar","Forty years of environmental risk perceptions: Evidence from the slovenian public opinion survey",2012,NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"5",NA,NA,NA,NA,"12",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"natural catastrophe; other: environmental: (air pollution, water pollution, nuclear waste, forest decay)",0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1277.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"slovenia",NA,NA,NA,NA,1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"6","Matson","The role of feelings of intimacy on perceptions of risk
for a sexually transmitted disease and condom use in the sexual relationships of adolescent AfricaneAmerican females",2012,NA,"longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"1",NA,NA,NA,NA,"7",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"health; other: feelings of intimacy and condom use",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"7","Park","Examining Whether Lung Screening Changes Risk Perceptions: National Lung Screening Trial Participants at 1-Year Follow-up",2013,NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"10",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"cancer ; cigarettes",1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"smokers",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,430,NA,NA,NA,NA,0.44,NA,NA,NA,NA,"61.05",NA,NA,NA,NA,4.82,NA,NA,NA,NA,55,NA,NA,NA,NA,74,NA,NA,NA,NA,10
"8","Wuthrich","Comparison of the Penn State Worry Questionnaire (PSWQ) and abbreviated version (PSWQ-A) in a clinical and non-clinical population of older adults",2014,NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"8",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"health; other: questionnaire validation",1,1,0,0,0,0,0,0,1,NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"0.70","0.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"clinical/patients",NA,NA,NA,NA,"older adults",NA,NA,NA,NA,"australia",NA,NA,NA,NA,22,NA,NA,NA,NA,0.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"9","Barcenilla-Wong","Concern and Risk Perception: Effects on Osteoprotective Behaviour",2014,NA,"longitudinal","risk","concern",NA,NA,NA,"scale","scale",NA,NA,NA,"likert scale","likert scale",NA,NA,NA,NA,NA,NA,NA,NA,"4",4,NA,NA,NA,"single","single",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"health",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Carere","The impact of direct-to-consumer personal genomic testing on perceived risk of breast, prostate, colorectal, and lung cancer: findings from the PGen study",2015,NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"1",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"cancer",1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,3160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,94,NA,NA,NA,NA,1
