"","study_id","title","author","paper_title","publication_year","aim_of_study","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","how_computed_1","how_computed_2","how_computed_3","how_computed_4","how_computed_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_1","intervention_2","intervention_3","intervention_4","intervention_5","intervention_times_1","intervention_times_2","intervention_times_3","intervention_times_4","intervention_times_5","intervention_duration_1","intervention_duration_2","intervention_duration_3","intervention_duration_4","intervention_duration_5","intervention_interval_1","intervention_interval_2","intervention_interval_3","intervention_interval_4","intervention_interval_5","exposure_1","exposure_2","exposure_3","exposure_4","exposure_5","exposure_times_1","exposure_times_2","exposure_times_3","exposure_times_4","exposure_times_5","exposure_duration_1","exposure_duration_2","exposure_duration_3","exposure_duration_4","exposure_duration_5","exposure_interval_1","exposure_interval_2","exposure_interval_3","exposure_interval_4","exposure_interval_5","domain","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","test-retest_result_1","test-retest_result_2","test-retest_result_3","test-retest_result_4","test-retest_result_5","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","comparison_significant_1","comparison_significant_2","comparison_significant_3","comparison_significant_4","comparison_significant_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","characteristics_sample_1","characteristics_sample_2","characteristics_sample_3","characteristics_sample_4","characteristics_sample_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5"
"1","Bish 2002","No news is (not necessarily) good news: Impact of preliminary results for BRCA1 mutation searches","Bish","No news is (not necessarily) good news: Impact of preliminary results for BRCA1 mutation searches",2002,"The current study aims to examine how the continuing uncertainty affects mood (including perceptions of risk) and reported behavior",NA,"longitudinal","risk","worry",NA,NA,NA,"scale","scale",NA,NA,NA,"5-point Likert Scale","4-point Likert Scale",NA,NA,NA,"two measures: one assessed perceptions about breast cancer relative to other women of their age. The other measure assessed perceived likelihood that they carried a mutation.","worry about breast cancer and ovarian cancer",NA,NA,NA,"3",3,NA,NA,NA,"single","single",NA,NA,NA,"genetic counseling for breast cancer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cancer","yes","yes",NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant","not significant",NA,NA,NA,"Preresult - Postresult
(2 Weeks Postresult)","Preresult, 2 weeks post result and 6months post results",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 weeks",NA,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"cancer counselee","cancer counselee",NA,NA,NA,"adults","adults",NA,NA,NA,"United Kingdom","United Kingdom",NA,NA,NA,61,61,NA,NA,NA,1,1,NA,NA,NA,"52.1",52.1,NA,NA,NA,11.1,11.1,NA,NA,NA,32,32,NA,NA,NA,74,74,NA,NA,NA
"2","Smith 2003","Why are they worried? Concern about HIV/AIDS in rural Malawi","Smith","Why are they worried? Concern about HIV/AIDS in rural Malawi",2003,"What factors determine how much a person worries about HIV/AIDS, and are the predominant factors those that individual models would suggest, or are there are other determinants that have a greater impact on worry",NA,"longitudinal","worry",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"3-point Likert scale",NA,NA,NA,NA,"single item: “How worried are you that you might catch AIDS?”",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; health catastrophe; Other: HIV/AIDS","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"t1-t2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 years",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"Malawi",NA,NA,NA,NA,1538,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Cabrera 2010","The impact of genetic counseling on knowledge and emotional responses in Spanish population with family history of breast cancer","Cabrera","The impact of genetic counseling on knowledge and emotional responses in Spanish population with family history of breast cancer",2010,"To assess a genetic counseling intervention measuring the distress, cancer risk perception, anxiety, worry and level of knowledge in people with familial history of breast cancer.",NA,"longitudinal","risk","worry",NA,NA,NA,"single item","scale",NA,NA,NA,"3-point likert","Total scores range from 6 to 24 where a higher score indicates higher levels of
cancer’s worry",NA,NA,NA,"1 item","6 items",NA,NA,NA,"3",3,NA,NA,NA,"single","single",NA,NA,NA,"pre- and post cancer-genetic intervention","pre- and post cancer-genetic intervention",NA,NA,NA,"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cancer","yes","yes",NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant","significant",NA,NA,NA,NA,"pre- post counseling (1 month after) 
pre- post counseling (6 months after)
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5 months",NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"people with history of breast cancer","people with history of breast cancer",NA,NA,NA,"adults","adults",NA,NA,NA,"Spain","Spain",NA,NA,NA,212,212,NA,NA,NA,0.94,0.94,NA,NA,NA,"38.4",38.4,NA,NA,NA,11.4,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Maheu 2010","Pancreatic cancer risk counselling and screening: Impact on perceived risk and psychological functioning","Maheu","Pancreatic cancer risk counselling and screening: impact on perceived risk and psychological functioning",2010,"The purpose of this study was to examine the psycho-
social impact of participating in a pancreatic cancer counselling and screening program from baseline to 3 months post intervention for individuals with a family
history of pancreatic cancer (FPC group) and for individuals with BRCA2 mutations (BRCA2 group).",NA,"longitudinal","risk","worry",NA,NA,NA,"single item","single item",NA,NA,NA,"0% - 100%","4-point Likert scale",NA,NA,NA,"Individuals were asked to rate their perceived lifetime risk of developing pancreatic cancer on a scale from 0 to 100%.","Cancer Worry Scale,  Participants were asked to report their frequency of worry about developing
pancreatic cancer in the previous month",NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,"The pancreatic cancer counselling and screening program involves annual transcutaneous abdominal ultrasound, magnetic resonance imaging (MRI), and blood collection (for future biomarker studies). Participants were asked to
return once a year for 5 years. Prior to their first scheduled screening appointment, participants were mailed a baseline
psychosocial questionnaire along with a study consent
form. They were asked to bring the completed questionnaire to their first study appointment. Genetic counseling was provided prior to the procedures in the majority of cases and involved obtaining updates regarding medical and family history, discussion about the lack of clinical
screening recommendations for pancreatic cancer, the
potential risks, benefits and limitations of study participation, and general information about pancreatic cancer, including population risks, and risk factors for this disease. An estimated 5% lifetime risk for developing pancreatic","The pancreatic cancer counselling and screening program involves annual transcutaneous abdominal ultrasound, magnetic resonance imaging (MRI), and blood collection (for future biomarker studies). Participants were asked to
return once a year for 5 years. Prior to their first scheduled screening appointment, participants were mailed a baseline
psychosocial questionnaire along with a study consent
form. They were asked to bring the completed questionnaire to their first study appointment. Genetic counseling was provided prior to the procedures in the majority of cases and involved obtaining updates regarding medical and family history, discussion about the lack of clinical
screening recommendations for pancreatic cancer, the
potential risks, benefits and limitations of study participation, and general information about pancreatic cancer, including population risks, and risk factors for this disease. An estimated 5% lifetime risk for developing pancreatic",NA,NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cancer","yes","yes",NA,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant","significant",NA,NA,NA,NA,"T1-T2, pre-post, cancer worry declined across time,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 months","3 months",NA,NA,NA,"laypeople","laypeople",NA,NA,NA,"individuals with a family history of pancreatic cancer or BRCA2 mutation carriers","individuals with a family history of pancreatic cancer or BRCA2 mutation carriers",NA,NA,NA,"adults","adults",NA,NA,NA,"Canadia","Canadia",NA,NA,NA,198,198,NA,NA,NA,0.51,0.51,NA,NA,NA,"56.4",56.4,NA,NA,NA,9.2,9.2,NA,NA,NA,32,32,NA,NA,NA,89,89,NA,NA,NA
"5","Malnar 2012","Forty years of environmental risk perceptions: Evidence from the Slovenian public opinion survey",NA,"Forty years of environmental risk perceptions: Evidence from the slovenian public opinion survey",2012,"This paper examines a forty-year dynamic of  concern for the environment among Slovenian respondents. It first makes an inventory of the variables that are presumed to influence perceptions of environmental risk, then proceeds to analyse twelve Slovenia Public Opinion datasets to observe the trends",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point Likert scale",NA,NA,NA,NA,"5 items.
Our dependant concept is the perception of environmental risks. The 
question wording was: Do the following phenomena in your living and 
working environment threaten you, concern you, or are non-existent? (Air 
pollution, water pollution, nuclear waste, forest decay).",NA,NA,NA,NA,"12",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural catastrophe; Other: environmental: (Air pollution, water pollution, nuclear waste, forest decay)","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"despite the fact that the four items under observation rep-
resent a rather diverse set of environmental threats, their trajectory is similar. 
All of them seem to grow and fall in parallel, a pattern which suggests that 
their distinctive content was lost on respondents.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"Slovenia",NA,NA,NA,NA,1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Matson 2012","The role of feelings of intimacy on perceptions of risk for a sexually transmitted disease and condom use in the sexual relationships of adolescent African-American females","Matson","The role of feelings of intimacy on perceptions of risk
for a sexually transmitted disease and condom use in the sexual relationships of adolescent AfricaneAmerican females",2012,"The objective of this analysis was to examine the role of intimacy on perceptions of risk for an STD (PRSTD) and condom use within late adolescent females’ main relationships.",NA,"longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"5-item Likert scale",NA,NA,NA,NA,"1 item
For each partner, participants were asked “How likely are you to
get an STD from this partner if you do not use a condom with
him?”",NA,NA,NA,NA,"7",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; Other: feelings of intimacy and condom use","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Park 2013","Examining whether lung screening changes risk perceptions: National Lung Screening Trial participants at 1-year follow-up","Park","Examining Whether Lung Screening Changes Risk Perceptions: National Lung Screening Trial Participants at 1-Year Follow-up",2013,"The objectives of the current study were to examine, at 1-year follow-up: 1) risk perceptions of lung cancer and smoking-related diseases and behavior change determinants, 2) whether changes in risk perceptions differed by baseline screening result; and 3) whether changes in risk perceptions affected smoking behavior.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point Likert scale",NA,NA,NA,NA,"10 items. 
smoking risk perception scale",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cancer ; cigarettes","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current smokers: Changes in lung cancer risk -> .69
Changes in SRD risk -> .97

Former smokers: 
Changes in lung cancer risk -> .62
Changes in SRD risk -> .37",NA,NA,NA,NA,"Lung cancer risk perceptions did not change
significantly from baseline to 1-year follow-up; SRD risk perceptions did not
change over time;  In terms of determi-
nants of smoking behavior change, cognitive and emo-
tional constructs (perceived confidence, perceived disease
severity, perceived benefits of quitting and lung screening,
and worry) and knowledge of smoking risks did not
change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 year",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"current or former smokers",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"USA",NA,NA,NA,NA,430,NA,NA,NA,NA,0.44,NA,NA,NA,NA,"61.05",NA,NA,NA,NA,4.82,NA,NA,NA,NA,55,NA,NA,NA,NA,74,NA,NA,NA,NA
"8","Wuthrich 2014","Comparison of the penn state worry questionnaire (PSWQ) and abbreviated version (PSWQ-A) in a clinical and non-clinical population of older adults","Wuthrich","Comparison of the Penn State Worry Questionnaire (PSWQ) and abbreviated version (PSWQ-A) in a clinical and non-clinical population of older adults",2014,"The aim of this study was to assess the utility of the PSWQ-A compared to the full PSWQ, to identify pathological worry in an older adult sample (N = 108) of clinically anxious and depressed older adults,
compared to a non-clinical sample (N = 53).",NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point Likert scale",NA,NA,NA,NA,"8 items",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; Other: questionnaire validation","yes",NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"r=0.70  
0.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12 weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"clinical sample",NA,NA,NA,NA,"older adults",NA,NA,NA,NA,"Australia",NA,NA,NA,NA,22,NA,NA,NA,NA,0.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Barcenilla-Wong 2014","Concern and Risk Perception: Effects on Osteoprotective Behaviour","Barcenilla-Wong","Concern and Risk Perception: Effects on Osteoprotective Behaviour",2014,"This study aimed to determine the effect that level of concern for osteoporosis, as well as self-perceived risk of osteoporosis and fracture, has on supplementation use, seeking medical advice, bone mineral density (BMD) testing, and antiosteoporosis medication (AOM) use.",NA,"longitudinal","risk","concern",NA,NA,NA,"scale","questionnaire",NA,NA,NA,"5-point likert","3-point Likert scale (i.e., very concerned, a little concerned, or not at all concerned)",NA,NA,NA,"Perception of risk of getting osteoporosis (how would you rate your own risk of “getting osteoporosis” compared to other women your age?) and having a fracture (how would you rate your own risk of fracturing or breaking a bone compared to other women your age?) were both assessed by asking
participants to rate their own risk of getting osteoporosis and also their own risk of having a fracture",NA,NA,NA,NA,"4",4,NA,NA,NA,"single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Carere 2015","The impact of direct-to-consumer personal genomic testing on perceived risk of breast, prostate, colorectal, and lung cancer: Findings from the PGen study","Carere","The impact of direct-to-consumer personal genomic testing on perceived risk of breast, prostate, colorectal, and lung cancer: findings from the PGen study",2015,"We measured the impact of direct-to-consumer genomic risk information on changes to perceived risk (ΔPR) of breast, prostate, colorectal and lung cancer among personal genomic testing (PGT) customers.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point Likert scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,"personal genomic testing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cancer","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"United states of America",NA,NA,NA,NA,3160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,94,NA,NA,NA,NA
