"","Journal","Volume","Issue","Pages","DOI","Abstract","author","paper_title","publication_year","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","item_number_1","item_number_2","item_number_3","item_number_4","item_number_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_yesno_1","intervention_yesno_2","intervention_yesno_3","intervention_yesno_4","intervention_yesno_5","exposure_yesno_1","exposure_yesno_2","exposure_yesno_3","exposure_yesno_4","exposure_yesno_5","domain","health","nature","crime","finance","nuclear","political","social","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","correlation_results_1","correlation_results_1.1","correlation_results_1.2","correlation_results_1.3","correlation_results_1.4","correlation_results_1.5","correlation_results_1.6","correlation_results_1.7","correlation_results_1.8","correlation_results_2","correlation_results_3","correlation_results_4","correlation_results_5","ICC_results_1","ICC_results_1.1","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","sample_category_1","sample_category_2","sample_category_3","sample_category_4","sample_category_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5"
"1","AMERICAN JOURNAL OF ALZHEIMERS DISEASE AND OTHER DEMENTIAS",36,NA,NA,"10.1177/1533317521995322","A modified version of the Dementia Worry Scale (DWS) used the terminology Alzheimer's disease and related dementias (versus the DWS' use of dementia). Two studies investigated psychometric properties of the modified DWS (MDWS). Study 1 compared the psychometric properties of the DWS and MDWS; both versions had single factor structures and exhibited excellent internal consistency (alpha s >= .95). The MDWS exhibited greater test-retest reliability after a 4-week interval (DWS r = .68; MDWS r = .90). In Study 2, the MDWS again displayed a single factor structure, excellent internal consistency (alpha = .95), and good test-retest reliability after an 8-week interval (r = .78). Additionally, results support convergent validity between the MDWS and fear of dementia, subjective memory, general anxiety, health anxiety, and neuroticism. The MDWS is psychometrically consistent with the DWS, maintains strong test-retest reliability, and is appropriate for use in cross-sectional and longitudinal research.","Roberts","A 2-Study Psychometric Evaluation of the Modified Dementia Worry Scale",2021,NA,"longitudinal","worry","worry",NA,NA,NA,"scale","scale",NA,NA,NA,"likert scale","likert scale",NA,NA,NA,"12",NA,NA,NA,NA,"2",2,NA,NA,NA,"study 2","study 2",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"health; other: dementia",1,0,0,0,0,0,0,1,1,NA,NA,NA,"test-retest","test-retest",NA,NA,NA,"0.68","0.09",NA,NA,NA,NA,NA,NA,NA,".78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,NA,NA,NA,NA,NA,"adults","adults",NA,NA,NA,"usa","usa",NA,NA,NA,63,63,NA,NA,NA,0.43,0.45,NA,NA,NA,"37.14",37.38,NA,NA,NA,12.13,9.37,NA,NA,NA,23,24,NA,NA,NA,"70",57,NA,NA,NA
"2","JOURNAL OF HEALTH PSYCHOLOGY",8,"6","753-764","10.1177/13591053030086008","This article presents the Cambridge Worry Scale (CWS), a content-based measure for assessing worries, and discusses its psychometric properties based on a longitudinal study of 1207 pregnant women. Principal components analysis revealed a four-factor structure of women's concerns during pregnancy: socio-medical, own health, socio-economic and relational. The measure demonstrated good reliability and validity. Total CWS scores were strongly associated with state and trait anxiety (convergent validity) but also had significant and unique predictive value for mood outcomes (discriminant validity). The CWS discriminated better between women with different reproductive histories than measures of state and trait anxiety. We conclude that the CWS is a reliable and valid tool for assessing the extent and content of worries in specific situations.","Green","Factor Structure, Validity and Reliability of the Cambridge Worry Scale in a Pregnant Population",2003,NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"16",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"health; other: pregnancy",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"0.69","0.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"pregnant women",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"uk",NA,NA,NA,NA,1207,NA,NA,NA,NA,1,NA,NA,NA,NA,"27.07",NA,NA,NA,NA,4.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","CANCER NURSING",41,"4","311-319","10.1097/NCC.0000000000000511","Background: The Cancer Worry Scale was revised to be used in breast cancer genetic counseling (CWS-GC). This scale is used to identify dimensions that are relevant in the genetic counseling context, such as worry about developing breast cancer, impact of worries on daily life, and risk perception in women attending a counseling session for BRCA1/2 mutations. Objective: The aim of this study was to estimate the psychometric properties of the CWS-GC in a sample of Italian women. Methods: A total of 304 women aged 19 to 90 years, 58% with history and 42% with no history of breast or ovarian cancer, participated in the study. Validity, reliability, and sensitivity to change of the CWS-GC were assessed. Results: Confirmatory factor analysis suggested a 2-factor structure of the CWS-GC measuring cancer worry and risk perception and with Cronbach's coefficients of .90 and .70, respectively. Criterion validity was attested by substantial yet not overlapping correlations with anxiety and fear of medical procedures. In a subsample of 50 women, test-retest reliability at a 4-week interval ranged from 0.70 to 0.87, and the CWS-GC was able to detect small to medium changes 1 month after genetic counseling. Conclusions: Overall, the CWS-GC showed good psychometric characteristics in this population. Implications for Practice: The CWS-GC would be appropriate for use by healthcare professionals to better understand how women react and adapt to information on genetic cancer risk to provide them with emotional support and encourage surveillance behaviors.","Caruso","The Cancer Worry Scale Revised for Breast Cancer Genetic Counseling",2018,NA,"serial cross-sectional","risk","worry",NA,NA,NA,"scale","scale",NA,NA,NA,"range","likert scale",NA,NA,NA,NA,NA,NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"cancer",1,0,0,0,0,0,0,1,1,NA,NA,NA,"test-retest","test-retest",NA,NA,NA,"0.70",NA,NA,NA,NA,NA,NA,NA,NA,"0.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,NA,NA,NA,NA,NA,"adults","adults",NA,NA,NA,"italy","italy",NA,NA,NA,50,50,NA,NA,NA,1,1,NA,NA,NA,"45.96",45.96,NA,NA,NA,8.69,8.69,NA,NA,NA,26,26,NA,NA,NA,"66",66,NA,NA,NA
"4","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH",18,"2",NA,"10.3390/ijerph18020494","Climate change worry involves primarily verbal-linguistic thoughts about the changes that may occur in the climate system and the possible effects of these changes. Such worry is one of several possible psychological responses (e.g., fear, anxiety, depression, and trauma) to climate change. Within this article, the psychometric development of the ten-item Climate Change Worry Scale (CCWS) is detailed in three studies. The scale was developed to assess proximal worry about climate change rather than social or global impacts. Study 1 provided evidence that the CCWS items were internally consistent, constituted a single factor, and that the facture structure of the items was invariant for men and women. The results from Study 1 also indicated a good fit with a Rasch model of the items. Study 2 affirmed the internal consistency of the CCWS items and indicated that peoples' responses to the measure were temporally stable over a two-week test-retest interval (r = 0.91). Study 3 provided support for the convergent and divergent validity of the CCWS through its pattern of correlations with several established clinical and weather-related measures. The limitations of the studies and the possible uses of the CCWS were discussed. The current work represents a starting point.","Stewart","Psychometric Properties of the Climate Change Worry Scale",2021,"data available upon request","longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"12",NA,NA,NA,NA,"2",NA,NA,NA,NA,"study 2",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"other: climate change, questionnaire validation",1,1,0,0,0,0,0,1,NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"0.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"students",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,54,NA,NA,NA,NA,0.83,NA,NA,NA,NA,"20.9",NA,NA,NA,NA,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","PSYCHOLOGICAL MEDICINE",50,"5","771-780","10.1017/S0033291719000588","Background The cognitive process of worry, which keeps negative thoughts in mind and elaborates the content, contributes to the occurrence of many mental health disorders. Our principal aim was to develop a straightforward measure of general problematic worry suitable for research and clinical treatment. Our secondary aim was to develop a measure of problematic worry specifically concerning paranoid fears. Methods An item pool concerning worry in the past month was evaluated in 250 non-clinical individuals and 50 patients with psychosis in a worry treatment trial. Exploratory factor analysis and item response theory (IRT) informed the selection of scale items. IRT analyses were repeated with the scales administered to 273 non-clinical individuals, 79 patients with psychosis and 93 patients with social anxiety disorder. Other clinical measures were administered to assess concurrent validity. Test-retest reliability was assessed with 75 participants. Sensitivity to change was assessed with 43 patients with psychosis. Results A 10-item general worry scale (Dunn Worry Questionnaire; DWQ) and a five-item paranoia worry scale (Paranoia Worries Questionnaire; PWQ) were developed. All items were highly discriminative (DWQ a = 1.98-5.03; PWQ a = 4.10-10.7), indicating small increases in latent worry lead to a high probability of item endorsement. The DWQ was highly informative across a wide range of the worry distribution, whilst the PWQ had greatest precision at clinical levels of paranoia worry. The scales demonstrated excellent internal reliability, test-retest reliability, concurrent validity and sensitivity to change. Conclusions The new measures of general problematic worry and worry about paranoid fears have excellent psychometric properties.","Freeman","The Dunn Worry Questionnaire and the Paranoia Worries Questionnaire: new assessments of worry",2020,NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"40",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"health",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"0.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"clinical/patients",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"uk",NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK",44,"4","914-925","10.1002/hed.26985","Background This study assessed the course of fear of cancer recurrence (FCR) in patients newly diagnosed with head and neck cancer (HNC), identified FCR trajectories and factors associated with FCR trajectories. Methods Six hundred and seventeen HNC patients from the NET-QUBIC cohort study completed the Cancer Worry Scale-6 at diagnosis, 3 and 6 months post-treatment. FCR trajectories were identified using Latent Class Growth Analysis. Associations were explored between FCR trajectories and baseline demographic and medical variables, coping and self-efficacy. Results Overall, FCR decreased slightly between baseline and 3 months post-treatment and remained stable up to 6 months. Two FCR trajectories were identified: high stable (n = 125) and low declining (n = 492). Patients with high stable FCR were younger, reported more negative adjustment, passive coping, and reassuring thoughts, and less avoidance. Conclusions The majority of HNC patients have low declining FCR after diagnosis, but one in five patients experience persistent high FCR up to 6 months post-treatment.","Deuning-Smit","Prospective longitudinal study on fear of cancer recurrence in patients newly diagnosed with head and neck cancer: Course, trajectories, and associated factors",2022,"data available upon request. via the net-qubic consortium (pi prof. dr i.m. verdonck-de leeuw)","longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"6",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"cancer ; health",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","GYNECOLOGIC ONCOLOGY",157,"2","521-528","10.1016/j.ygyno.2020.02.027","Objective. We assessed the feasibility, patient acceptability of and compliance of a new surveillance strategy for ovarian cancer surveillance in women with BRCA mutations, based on assessments of serum CA125 and HE4 every 4 months (Risk of Ovarian Cancer Algorithm (ROCA) arm), compared to Standard of Care (SOC) surveillance with CA125 blood tests and pelvic ultrasounds every 6 months. Methods. Women were recruited 6/13/16-9/11/17 from an integrated health care system in California for this non-randomized prospective cohort study. Women were invited to participate in a novel serum biomarker surveillance strategy using ROCA or they could opt to be in the standard of care control arm with ultrasound and CA 125 every 6 months. Outcomes assessed included compliance, self-reported distress using the Impact of Event Scale (IES) and cancer anxiety using the Cancer Worry Scale. Results. There were 159 women in the ROCA arm and 43 in the SOC arm. Overall, compliance was higher in the ROCA arm (832%) than in SOC (51.9%), p < 0.0001. Based on the IES, ROCA arm women reported less feelings about intrusion and avoidance at 12 months compared to baseline; the difference approached significance for intrusion (7.6% vs 4.1% severe, p = 0.057) and was statistically significant for avoidance (20.8% vs 9.9% severe, p = 0.034). Conclusions. This pilot demonstrated that compliance was high with blood tests performed every four months for ovarian cancer surveillance. Moreover, ROCA women had lower stress scores over time than SOC women. Given the lack of clinical utility and poor compliance shown with traditional ultrasound and CA125 tests, further investigation is warranted of longitudinal biomarker surveillance for early detection of ovarian cancer. (C) 2020 Elsevier Inc. All rights reserved.","Haque","Feasibility, patient compliance and acceptability of ovarian cancer surveillance using two serum biomarkers and Risk of Ovarian Cancer Algorithm compared to standard ultrasound and CA 125 among women with BRCA mutations",2020,NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"cancer",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,159,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BRITISH JOURNAL OF DERMATOLOGY",179,"1","88-94","10.1111/bjd.16671","Background The patient's perspective of their facial scar after skin cancer surgery influences perception of care and quality of life (QoL). Appearance satisfaction after surgery is also an important but often overlooked treatment outcome. Objectives To report the psychometric validation of the FACE-Q Skin Cancer Module consisting of five scales, measuring appearance satisfaction (Satisfaction with Facial Appearance, Appraisal of Scars), QoL (Cancer Worry, Appearance-related Psychosocial Distress) and the patient experience (Satisfaction with Information: Appearance). Methods Participants underwent Mohs surgery for facial basal or squamous cell carcinoma or excision of early facial melanoma. Cohort 1 received a set of scales before and after surgery. Cohort 2 received the scales on two occasions in the post operative period for test-retest reliability. Rasch measurement theory was used to select (item-reduce) the most clinically meaningful items for the scales. Reliability, validity, floor and ceiling effects and responsiveness were also analysed. Results Of 334 patients, 209 (response rate 62.6%) were included. Rasch analysis reduced the total scale items from 77 to 41. All items had ordered thresholds and good psychometric fit. Reliability was high (Person separation index and Cronbach's alpha >= 0.90) and scales measuring similar constructs were correlated. High floor and ceiling effects were seen for the scales. The Cancer Worry scale demonstrated responsiveness (P = 0.004). Conclusions The FACE-Q Skin Cancer Module meet the requirements of the Rasch model providing linearized measurement. Discriminating between patients with minimal appearance or worry impairment may be a limitation. The scales can be used for larger validation studies, clinical practice and research.","Lee","FACE-Q Skin Cancer Module for measuring patient-reported outcomes following facial skin cancer surgery",2018,NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"cancer ; other: skin cancer",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"correlation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,"92",NA,NA,NA,NA
"9","ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA",90,"9","1030-1035","10.1111/j.1600-0412.2011.01208.x","Objective. To identify pregnancy worries in women by assessing the intensity of these worries and how they change over the course of pregnancy, as well as their relations with sociodemographic and clinical variables. Design. Longitudinal study using a postal questionnaire. Setting. University hospital in Madrid. Population. 285 pregnant women. Method. Women were asked about their pregnancy-specific worries in their first trimester (mean gestational age 14.4 weeks) and third trimester (mean gestational age 34.3 weeks). Main Outcome Measures. The women completed a questionnaire that included sociodemographic information and the Cambridge Worry Scale. Results. Pregnancy worries were significantly reduced during the third trimester. The main concern throughout gestation was worry about fetal health. Multiparity and pregnancy planning protected women from pregnancy worries, whereas having had a miscarriage had a negative effect. A younger age and being employed contributed to greater socioeconomic worries. Conclusions. Worries related to the health of the fetus are universal across different nationalities. A first pregnancy, unplanned pregnancy, and previous miscarriage are risk factors that influence the intensity of a woman's worries. To improve the health and quality of life of pregnant women, a holistic approach to their care should include evaluation of their worries and appropriate intervention in particular groups considered at risk.","Peñacoba-Puente","Pregnancy worries: a longitudinal study of Spanish women",2011,NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"16",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"health; other: pregnancy worries",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"only female",NA,NA,NA,NA,"adults",NA,NA,NA,NA,NA,NA,NA,NA,NA,285,NA,NA,NA,NA,1,NA,NA,NA,NA,"31.5",NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","DATA IN BRIEF",38,NA,NA,"10.1016/j.dib.2021.107430","The coronavirus pandemic poses major challenges for governments and public health authorities. In order to implement appropriate measures, it is important to understand how the population is coping with the pandemic. This dataset contains serial cross-sectional survey data from the first months of the coronavirus pandemic in Germany. Data were collected between 24 March and 26 May 2020 in ten weekly surveys (ns ranging between 500 and 515, in total N = 5,076) as part of omnibus telephone interviews. Samples were drawn at random from landline and mobile telephone numbers. The main topics of the questionnaire were (a) the expected impact of the coronavirus on one's personal life, (b) perception of infection risk, (c) protective measures and (d) information behaviour. Data were weighted to ensure sociodemographic representativeness. To account for the rapidly changing situation of the coronavirus pandemic in Germany, the questionnaire underwent several adjustments during the data collection period. (C) 2021 The Authors. Published by Elsevier Inc.","Kirsch","Serial cross-sectional data on the public’s perception on the coronavirus during the first months of the pandemic in Germany",2021,NA,"serial cross-sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"1",NA,NA,NA,NA,"10",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"health catastrophe; other: covid",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
