Covidence #,Study ID,Title,Reviewer Name,Last name of the first author,Title of the paper,Year when article was published,Aim of study,What type of design was used?,:,risk formulation variable 1,risk formulation variable 2,risk formulation variable 3,risk formulation variable 4,risk formulation variable 5,risk formulation variable 6,risk formulation variable 7,risk formulation variable 8,how was it measured? variable 1,how was it measured? variable 2,how was it measured? variable 3,how was it measured? variable 4,how was it measured? variable 5,how was it measured? variable 6,how was it measured? variable 7,how was it measured? variable 8,In what units is it assessed?  variable 1,In what units is it assessed?  variable 2,In what units is it assessed?  variable 3,In what units is it assessed?  variable 4,In what units is it assessed?  variable 5,In what units is it assessed?  variable 6,In what units is it assessed?  variable 7,In what units is it assessed?  variable 8,How was it computed? variable 1,How was it computed? variable 2,How was it computed? variable 3,How was it computed? variable 4,How was it computed? variable 5,How was it computed? variable 6,How was it computed? variable 7,How was it computed? variable 8,How many times was it measured? variable 1,How many times was it measured? variable 2,How many times was it measured? variable 3,How many times was it measured? variable 4,How many times was it measured? variable 5,How many times was it measured? variable 6,How many times was it measured? variable 7,How many times was it measured? variable 8,Study variable 1,Study variable 2,Study variable 3,Study variable 4,Study variable 5,Study variable 6,Study variable 7,Study variable 8,intervention variable 1,intervention variable 2,intervention variable 3,intervention variable 4,intervention variable 5,intervention variable 6,intervention variable 7,intervention variable 8,How many times was the intervention? variable 1,How many times was the intervention? variable 2,How many times was the intervention? variable 3,How many times was the intervention? variable 4,How many times was the intervention? variable 5,How many times was the intervention? variable 6,How many times was the intervention? variable 7,How many times was the intervention? variable 8,How long was the duration of the intervention? variable 1,How long was the duration of the intervention? variable 2,How long was the duration of the intervention? variable 3,How long was the duration of the intervention? variable 4,How long was the duration of the intervention? variable 5,How long was the duration of the intervention? variable 6,How long was the duration of the intervention? variable 7,How long was the duration of the intervention? variable 8,How long was the average interval between interventions? variable 1,How long was the average interval between interventions? variable 2,How long was the average interval between interventions? variable 3,How long was the average interval between interventions? variable 4,How long was the average interval between interventions? variable 5,How long was the average interval between interventions? variable 6,How long was the average interval between interventions? variable 7,How long was the average interval between interventions? variable 8,exposure variable 1,exposure variable 2,exposure variable 3,exposure variable 4,exposure variable 5,exposure variable 6,exposure variable 7,exposure variable 8,How many times was the exposure? variable 1,How many times was the exposure? variable 2,How many times was the exposure? variable 3,How many times was the exposure? variable 4,How many times was the exposure? variable 5,How many times was the exposure? variable 6,How many times was the exposure? variable 7,How many times was the exposure? variable 8,How long was the duration of the exposure? variable 1,How long was the duration of the exposure? variable 2,How long was the duration of the exposure? variable 3,How long was the duration of the exposure? variable 4,How long was the duration of the exposure? variable 5,How long was the duration of the exposure? variable 6,How long was the duration of the exposure? variable 7,How long was the duration of the exposure? variable 8,How long was the average interval between exposures? variable 1,How long was the average interval between exposures? variable 2,How long was the average interval between exposures? variable 3,How long was the average interval between exposures? variable 4,How long was the average interval between exposures? variable 5,How long was the average interval between exposures? variable 6,How long was the average interval between exposures? variable 7,How long was the average interval between exposures? variable 8,What domain is being analyzed?,:,temporal stability analyzed variable 1,temporal stability analyzed variable 2,temporal stability analyzed variable 3,temporal stability analyzed variable 4,temporal stability analyzed variable 5,temporal stability analyzed variable 6,temporal stability analyzed variable 7,temporal stability analyzed variable 8,how was it analyzed variable 1,how was it analyzed variable 2,how was it analyzed variable 3,how was it analyzed variable 4,how was it analyzed variable 5,how was it analyzed variable 6,how was it analyzed variable 7,how was it analyzed variable 8,test-retest stability result variable 1,test-retest stability result variable 2,test-retest stability result variable 3,test-retest stability result variable 4,test-retest stability result variable 5,test-retest stability result variable 6,test-retest stability result variable 7,test-retest stability result variable 8,temporal trend result variable 1,temporal trend result variable 2,temporal trend result variable 3,temporal trend result variable 4,temporal trend result variable 5,temporal trend result variable 6,temporal trend result variable 7,temporal trend result variable 8,mean difference result variable 1,mean difference result variable 2,mean difference result variable 3,mean difference result variable 4,mean difference result variable 5,mean difference result variable 6,mean difference result variable 7,mean difference result variable 8,which comparison was significant variable 1,which comparison was significant variable 2,which comparison was significant variable 3,which comparison was significant variable 4,which comparison was significant variable 5,which comparison was significant variable 6,which comparison was significant variable 7,which comparison was significant variable 8,test-retest time interval  variable 1,test-retest time interval  variable 2,test-retest time interval  variable 3,test-retest time interval  variable 4,test-retest time interval  variable 5,test-retest time interval  variable 6,test-retest time interval  variable 7,test-retest time interval  variable 8,temporal trend time interval variable 1,temporal trend time interval variable 2,temporal trend time interval variable 3,temporal trend time interval variable 4,temporal trend time interval variable 5,temporal trend time interval variable 6,temporal trend time interval variable 7,temporal trend time interval variable 8,mean difference time interval  variable 1,mean difference time interval  variable 2,mean difference time interval  variable 3,mean difference time interval  variable 4,mean difference time interval  variable 5,mean difference time interval  variable 6,mean difference time interval  variable 7,mean difference time interval  variable 8,:,type of participants variable 1,type of participants variable 2,type of participants variable 3,type of participants variable 4,type of participants variable 5,type of participants variable 6,type of participants variable 7,type of participants variable 8,characteristics of sample variable 1,characteristics of sample variable 2,characteristics of sample variable 3,characteristics of sample variable 4,characteristics of sample variable 5,characteristics of sample variable 6,characteristics of sample variable 7,characteristics of sample variable 8,main age category variable 1,main age category variable 2,main age category variable 3,main age category variable 4,main age category variable 5,main age category variable 6,main age category variable 7,main age category variable 8,(main) country of participants variable 1,(main) country of participants variable 2,(main) country of participants variable 3,(main) country of participants variable 4,(main) country of participants variable 5,(main) country of participants variable 6,(main) country of participants variable 7,(main) country of participants variable 8,number of participants variable 1,number of participants variable 2,number of participants variable 3,number of participants variable 4,number of participants variable 5,number of participants variable 6,number of participants variable 7,number of participants variable 8,prop. of female participants/average variable 1,prop. of female participants/average variable 2,prop. of female participants/average variable 3,prop. of female participants/average variable 4,prop. of female participants/average variable 5,prop. of female participants/average variable 6,prop. of female participants/average variable 7,prop. of female participants/average variable 8,mean age of participants variable 1,mean age of participants variable 2,mean age of participants variable 3,mean age of participants variable 4,mean age of participants variable 5,mean age of participants variable 6,mean age of participants variable 7,mean age of participants variable 8,SE of the age of participants  variable 1,SE of the age of participants  variable 2,SE of the age of participants  variable 3,SE of the age of participants  variable 4,SE of the age of participants  variable 5,SE of the age of participants  variable 6,SE of the age of participants  variable 7,SE of the age of participants  variable 8,SD of the age of participants variable 1,SD of the age of participants variable 2,SD of the age of participants variable 3,SD of the age of participants variable 4,SD of the age of participants variable 5,SD of the age of participants variable 6,SD of the age of participants variable 7,SD of the age of participants variable 8,lowest age of participants variable 1,lowest age of participants variable 2,lowest age of participants variable 3,lowest age of participants variable 4,lowest age of participants variable 5,lowest age of participants variable 6,lowest age of participants variable 7,lowest age of participants variable 8,highest age of participants variable 1,highest age of participants variable 2,highest age of participants variable 3,highest age of participants variable 4,highest age of participants variable 5,highest age of participants variable 6,highest age of participants variable 7,highest age of participants variable 8
1652,Bish 2002,No news is (not necessarily) good news: Impact of preliminary results for BRCA1 mutation searches,Arzie Bajrami,Bish,No news is (not necessarily) good news: Impact of preliminary results for BRCA1 mutation searches,2002,The study aims to examine how the continuing uncertainty affects mood (including perceptions of risk) and reported behavior.,longitudinal,"",risk perception,worry,"","","","","","",scale,scale,"","","","","","",5-point Likert Scale,4-point Likert Scale,"","","","","","",two measures: one assessed perceptions about breast cancer relative to other women of their age. The other measure assessed perceived likelihood that they carried a mutation.,worry about breast cancer and ovarian cancer,"","","","","","",3,3,"","","","","","",single,single,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",cancer ,"",yes,yes,"","","","","","",mean difference,mean difference,"","","","","","","","","","","","","","","","","","","","","","",significant,not significant,"","","","","","","Preresult - Postresult
(2 Weeks Postresult)","Preresult, 2 weeks post result and 6months post results","","","","","","","","","","","","","","","","","","","","","","",2 weeks ,"","","","","","","","",laypeople,laypeople,"","","","","","",women,women,"","","","","","",adults,adults,"","","","","","",the United Kingdom,the United Kingdom,"","","","","","",61,61,"","","","","","",1,1,"","","","","","",52.1,52.1,"","","","","","","","","","","","","","",11.1,11.1,"","","","","","",32,32,"","","","","","",74,74,"","","","","",""
1513,Cabrera 2010,The impact of genetic counseling on knowledge and emotional responses in Spanish population with family history of breast cancer,Arzie Bajrami,Cabrera,The impact of genetic counseling on knowledge and emotional responses in Spanish population with family history of breast cancer,2010,"To assess a genetic counseling intervention measuring the distress, cancer risk perception, anxiety, worry and level of knowledge in people with familial history of breast cancer",longitudinal,"",risk perception,worry,"","","","","","",single item,scale,"","","","","","",3-point Likert scale,"Total scores range from 6 to 24 where a higher score indicates higher levels of
cancer’s worry","","","","","","","","","","","","","","",2,2,"","","","","","",single,single,"","","","","","",genetic counseling intervention,genetic counseling intervention,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",cancer ; health,"",yes,yes,"","","","","","",mean difference,mean difference,"","","","","","","","","","","","","","","","","","","","","","",not significant,significant,"","","","","","","","pre- post counseling (1 month after) 
pre- post counseling (6 months after)
","","","","","","","","","","","","","","","","","","","","","","","",3.5 months,"","","","","","","",laypeople,laypeople,"","","","","","",people with history of breast cancer,people with history of breast cancer,"","","","","","",adults,adults,"","","","","","",Spain,Spain,"","","","","","",212,212,"","","","","","",0.94,0.94,"","","","","","",38.4,38.4,"","","","","","","","","","","","","","",11.4,11.4,"","","","","","","","","","","","","","","","","","","","","",""
1414,Park 2013,Examining whether lung screening changes risk perceptions: National Lung Screening Trial participants at 1-year follow-up,Amanda Holzer,Park,Examining Whether Lung Screening Changes Risk Perceptions: National Lung Screening Trial Participants at 1-Year Follow-up,2012,"The objectives of the current study were to examine, at 1-year follow-up: 1) risk perceptions of lung cancer and smoking-related diseases and behavior change determinants, 2) whether changes in risk perceptions differed by baseline screening result; and 3) whether changes in risk perceptions affected smoking behavior. ",longitudinal,"",risk,"","","","","","","",scale,"","","","","","","","","","","","","","","",10 items,"","","","","","","",2,"","","","","","","",single,"","","","","","","",yes,"","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",cancer ,"",yes,"","","","","","","",mean diffrences,"","","","","","","","","","","","","","","","","","","","","","","","Current smokers: Changes in lung cancer risk -> .69
Changes in SRD risk -> .97

Former smokers: 
Changes in lung cancer risk -> .62
Changes in SRD risk -> .37","","","","","","","",none,"","","","","","","","","","","","","","","","","","","","","","","",1 year,"","","","","","","","",laypeople,"","","","","","","",smokers/none smokers,"","","","","","","",adults,"","","","","","","",USA,"","","","","","","",430,"","","","","","","",.44355,"","","","","","","",61.05,"","","","","","","","","","","","","","","",4.82,"","","","","","","","","","","","","","","","","","","","","","",""
1373,Barcenilla-Wong 2014,Concern and Risk Perception: Effects on Osteoprotective Behaviour,Arzie Bajrami,Barcenilla-Wong,Concern and Risk Perception: Effects on Osteoprotective Behaviour,2014,"This study aimed to determine the effect that level of concern for osteoporosis, as well as self-perceived risk of osteoporosis and fracture, has on supplementation use, seeking medical advice, bone mineral density (BMD) testing, and antiosteoporosis medication (AOM) use. ",longitudinal,"",risk perception,concern,"","","","","","",questionnaire,questionnaire,"","","","","","","5-point Likert scale (i.e., a lot lower, a little lower, about the same, a little higher, or much higher)","3-point Likert scale (i.e., very concerned, a little concerned, or not at all concerned)","","","","","","","Perception of risk of getting osteoporosis (how would you rate your own risk of “getting osteoporosis” compared to other women your age?) and having a fracture (how would you rate your own risk of fracturing or breaking a bone compared to other women your age?) were both assessed by asking
participants to rate their own risk of getting osteoporosis and also their own risk of having a fracture","","","","","","","",4,4,"","","","","","",single,single,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",health,"",no,no,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1323,Carere 2015,"The impact of direct-to-consumer personal genomic testing on perceived risk of breast, prostate, colorectal, and lung cancer: Findings from the PGen study",Arzie Bajrami,Carere,"The impact of direct-to-consumer personal genomic testing on perceived risk of breast, prostate, colorectal, ans lung cancer: findings from the PGen study",2015,"We measured the impact of direct-to-consumer genomic risk information on changes to perceived risk (ΔPR) of breast, prostate, colorectal and lung cancer among personal genomic testing (PGT) customers. ",longitudinal,"",risk,"","","","","","","",scale,"","","","","","","",5-point Likert scale,"","","","","","","","","","","","","","","",3,"","","","","","","",single,"","","","","","","",personal genomic testing,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",cancer ,"",no,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1212,Baucum 2018,The dynamics of risk perception for soft target terrorism,Arzie Bajrami,Baucum,the Dynamics of Risk Perception for Soft Target Terrorism,2018,"The purpose of this investigation was to examine how individuals’ risk perceptions regarding soft-target terrorism formed over time, as a function of 1) highly publicized terror attacks, and 2) cognitive, affective, and behavior facets of risk perception.",longitudinal,"",risk perception ,"","","","","","","",scale,"","","","","","","","5- point scale: Very low risk, low risk, moderate risk, high risk, very high risk","","","","","","","","","","","","","","","",6,"","","","","","","",single,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",terror attacks,"","","","","","","",4,"","","","","","","","","","","","","","","",32 days,"","","","","","","",Other: terrorism,"",yes,"","","","","","","",temporal trend,"","","","","","","","","","","","","","","",β=0.334,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1 month,"","","","","","","","","","","","","","","","",laypeople,"","","","","","","","","","","","","","","",adults,"","","","","","","",the United States and Canada,"","","","","","","",496,"","","","","","","",0.64,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1103,Schaefer 2019,Accuracy of HIV Risk Perception in East Zimbabwe 2003–2013,Amanda Holzer,Schaefer,Accuracy of HIV Risk Perception in East Zimbabwe 2003–2013,2018,"We investigate the degree to which HIV risk perception is accurate, i.e. corresponds to actual HIV infection risks, in a general-population open-cohort study in Zimbabwe (2003–2013) including 7201 individuals over 31,326 person-years.",longitudinal,"",risk,"","","","","","","",single item ,"","","","","","","",3-point likert,"","","","","","","",1 item,"","","","","","","",4,"","","","","","","",single,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",health,"",no,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1085,Calderón-Larrañaga 2019,Psychological correlates of multimorbidity and disability accumulation in older adults,Arzie Bajrami,Calderón-Larrañaga,Psychological correlates of multimorbidity and disability accumulation in older adults,2019,Aimed to explore whether different psychological factors were associated with the rate of chronic disease and disability accumulation over time.,longitudinal,"",worry,"","","","","","","",questionnaire,"","","","","","","","","","","","","","","","our of the six original perceptual subscales of the questionnaire are assessed in SNAC-K health outlook (i.e. perceptions of future health), resistance to illness (i.e. sense of susceptibility or resistance to illness), sickness orientation (i.e. tendency to accept sickness as a part of life) and health worry (i.e. amount of health-related worry or concern).","","","","","","","",4,"","","","","","","",single,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",health,"",yes,"","","","","","","",temporal trend,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9 years,"","","","","","","","","","","","","","","","",laypeople,"","","","","","","","","","","","","","","",older adults,"","","","","","","",Sweden,"","","","","","","",2293,"","","","","","","",0.37,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",60,"","","","","","","",>99,"","","","","","",""
928,Baucum 2021,Modeling affective and cognitive responses to soft-target terrorism over time,Arzie Bajrami,Baucum,Modeling affective and cognitive responses to soft-target terrorism over time,2021,This study aimed to more clearly disentangle the various emotional and cognitive facets that predict individuals’ response to the terrorism threat in the United States.,longitudinal,"",risk perception,"","","","","","","",single item,"","","","","","",""," five-point scale: “Very Low Risk,” “Low Risk,” “Moderate Risk,” “High Risk,” “Very High Risk.”","","","","","","","","Risk ratings for both attack types (shooting and bombing) were treated as separate indicators of a single risk perception construct given their strong correlation (Wave 1 r=0.75, 
Wave 2 r=0.71)","","","","","","","",2,"","","","","","","",single,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",terror attacks,"","","","","","","",12,"","","","","","","","","","","","","","","",88 days,"","","","","","","",Other: terrorism,"",yes,"","","","","","","",test-retest,"","","","","","","",0.44,"","","","","","","",0.29,"","","","","","","","","","","","","","","","","","","","","","","",6 months,"","","","","","","",6 months,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
824,Ochel 2022,Determinants of Adoption and Rejection of Protective Measures During the SARS-CoV-2 Pandemic: A Longitudinal Study in Germany’s Second Wave,Amanda Holzer,Ochel,Determinants of Adoption and Rejection of Protective Measures During the SARS-CoV-2 Pandemic: A Longitudinal Study in Germany’s Second Wave,2022,We analyzed longitudinal data (N = 800) to investigate whether trust and risk were relevant predictors for pandemic measures at a later stage (October 2020/January 2021).,longitudinal,"",risk,"","","","","","","",scale,"","","","","","","",7-point likert,"","","","","","","",8 item,"","","","","","","",2,"","","","","","","",single,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",yes ,"","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","",health catastrophe,"",yes,"","","","","","","","","","","","","","","",p > .0,"","","","","","","","","","","","","","","","","","","","","","","",none,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",laypeople,"","","","","","","","","","","","","","","","","","","","","","","",Germany,"","","","","","","",1390,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
